City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Mammoth Lakes town, California",8231,8284,8226,8058,8086,8045,8158,8182,8220,8235
"Manhattan Beach city, California",35123,35232,35345,35426,35461,35504,35608,35702,35418,35183
"Manteca city, California",67733,69244,70884,71761,73157,75088,76831,79079,81603,83028
"Maricopa city, California",1155,1162,1170,1178,1185,1187,1187,1191,1194,1192
"Marina city, California",19743,19876,20149,20269,20680,21071,21622,21986,22456,22781
"Martinez city, California",36157,36502,36825,37119,37473,38050,38325,38411,38406,38297
"Marysville city, California",12094,12097,12113,12154,12165,12154,12193,12351,12452,12476
"Maywood city, California",27381,27474,27543,27614,27628,27636,27536,27406,27196,26973
"Mendota city, California",11332,11501,11519,11512,11505,11526,11541,11543,11526,11511
"Menifee city, California",77929,79665,81026,83045,84522,86411,88057,90104,92249,94756
"Menlo Park city, California",32080,32450,32821,33013,33211,33389,33970,34184,34500,34698
"Merced city, California",79131,79705,80231,80703,81120,81775,82232,82589,83113,83676
"Millbrae city, California",21572,21847,22123,22480,22669,22803,22764,22649,22530,22394
"Mill Valley city, California",13921,14064,14157,14307,14379,14377,14351,14287,14296,14259
"Milpitas city, California",66729,67124,68862,69944,73560,77485,77829,77874,80208,84196
"Mission Viejo city, California",93225,94020,94627,96003,96622,96543,96149,95551,94925,94381
"Modesto city, California",203301,204017,205040,206075,207652,209245,211231,213000,214389,215196
"Monrovia city, California",36599,36744,36859,36992,37066,37153,37019,36846,36592,36331
"Montague city, California",1444,1431,1411,1395,1388,1388,1388,1396,1394,1398
"Montclair city, California",36743,37279,37440,37923,38212,38447,38784,39124,39324,40083
"Montebello city, California",62490,62903,63123,63279,63322,63379,63134,62823,62440,61954
"Monterey city, California",27908,28246,28750,28600,28549,28496,28568,28411,28170,28178
"Monterey Park city, California",60218,60460,60645,60796,60832,60908,60830,60668,60198,59669
"Monte Sereno city, California",3331,3360,3401,3442,3473,3489,3511,3514,3480,3427
"Moorpark city, California",34644,34906,35010,35136,35474,36000,36444,36561,36438,36375
"Moraga town, California",16057,16308,16476,16753,16993,17220,17441,17600,17693,17783
"Moreno Valley city, California",194240,196590,198214,200195,201831,202919,204711,206741,208889,213055
"Morgan Hill city, California",38071,38840,39490,41028,42074,42991,44430,44961,45084,45952
"Morro Bay city, California",10244,10281,10365,10447,10498,10578,10612,10603,10559,10543
"Mountain View city, California",74236,75108,76507,77955,79150,80345,80821,81189,83168,82739
"Mount Shasta city, California",3390,3352,3311,3263,3271,3274,3270,3286,3277,3274
"Murrieta city, California",104229,105370,106509,107361,108037,109372,111492,112995,114715,116223
"Napa city, California",77185,77679,78168,78728,79384,79636,79616,79083,78946,78130
"National City city, California",58624,59042,59369,59776,60132,60721,60967,61083,61272,61394
"Needles city, California",4836,4875,4896,4908,4928,4949,4967,4987,4977,4976
"Nevada City city, California",3080,3103,3095,3095,3070,3153,3145,3136,3139,3148
"Newark city, California",42628,43019,43533,44078,44640,45236,45872,47429,48185,49149
"Newman city, California",10273,10527,10580,10629,10711,10840,11065,11288,11611,11784
"Newport Beach city, California",85329,86073,86522,86877,86688,86585,86510,85740,85074,84534
"Norco city, California",27240,27366,27457,27033,26998,26307,26807,26861,26791,26604
"Norwalk city, California",105544,105903,105976,106122,106189,106237,105844,105466,104798,103949
"Novato city, California",51970,52680,53221,54142,54856,55406,55913,55701,55640,55516
"Oakdale city, California",20823,20949,21224,21457,21764,22125,22573,23026,23395,23596
"Oakland city, California",391406,396086,401104,406648,412901,418211,420947,424382,429056,433031
"Oakley city, California",35666,36596,37177,38142,39118,39708,40665,41618,42121,42543
"Oceanside city, California",168079,170008,171590,173175,174318,175189,175451,175884,175758,175742
"Ojai city, California",7482,7515,7540,7573,7593,7593,7573,7545,7480,7470
"Ontario city, California",164377,165756,166630,167096,168097,170210,172561,175334,180718,185010
"Orange city, California",137103,138539,139372,139972,139424,140503,140581,140251,139449,138669
